P_SUID,YEAR_FROM_CODATE,HAPPY,SATIS_A,SATIS_B,CHNG_A,CHNG_B,CHNG_C,DIVRELPOP,DIVRACPOP,QB2A,QB2C,QB2D,OPENIDEN,POORASSIST,GOVSIZE1,ABRTLGL,GAYMARR,PAR2CHILD,PAR2CHILDA,CLIM1A,EVOL,GUIDE_A,GUIDE_B,GUIDE_C,GUIDE_D,RELTRAD,CURREL,UNAFFILDETAIL,BORNFINAL,RELPER,SPIRPER,RELCON_A,RELCON_B,RELCON_C,RELCON_D,RELCON_E,ATTNDPERRLS,ATTNDONRLS,CONGRACE,LEADRACE,RELIMP,MEMB,GOD,GOD2,HVN,HLL,SOUL,BIBIMP,HUMNTR_A,HUMNTR_B,PRAY,GRACE,PRAC_A,PRAC_B,PRAC_C,PRAC_D,EXP_A,EXP_B,EXP_C,EXP_D,EXP_E,EXP_F,EXP_G,SPIRACT_A,SPIRACT_B,SPIRACT_C,SPIRACT_D,SPIRACT_E,SPIRACT_F,RTRT,SECMEMB,VOL12_CPS,SCIMPACT,RELIMPACT,SCRLCON1,SPIRWORLD2,SECBEL1,SECBEL2,FRMREL,CHBORNFINAL,CHIMPREL_A,CHIMPREL_B,CHATTEND,CHCONGRACE,CHEDU1,CHEDU2,LIFEDIR,LIFESPIR,GTHGHT,MARITAL,RELMATCH,SPRELIMP,SPRELTALK,SPRELSIM,MARWHENREC,CHILDREN,KIDACT_A,KIDACT_B,KIDACT_C,RELINST_A,RELINST_B,RELINST_D,RELINST_E,RELINST_F,RELINST_G,SCPRY1,SCPRY2,RELDISP,CHRNAT,BIRTHDECADE,HISP,RACECMB,AFROHISP,EDUCREC,E2,EMPLSIT,USGEN,YEARLOCREC,MOVED,REG,PARTY,PARTYLN,IDEO,HH1REC,HH3REC,INTFREQ,INC_SDT1,GENDER,FERTREC
10000460,2023,1,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,2,,1,1,3,1,1,1,30000,30000,9,2,3,3,2,2,2,2,2,5,6,,,3,2,1,3,2,2,2,4,5,5,7,5,5,5,5,5,4,1,1,5,1,1,1,5,5,5,5,5,5,5,2,2,3,3,1,1,1,2,30000,2,3,2,4,1,1,3,2,2,4,1,1,4,5,5,4,2,,,,1,1,1,2,2,1,4,4,4,4,2,2,1,2,4,3,5,3,4,2,1,2,,4,3,3,2,7,1,2
10000500,2023,2,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,3,1,1,2,2,2,1,100000,100000,2,,2,1,2,1,2,2,2,5,6,,,3,2,1,4,2,2,1,4,4,2,2,4,5,5,3,3,1,1,1,1,1,1,1,2,4,4,1,4,1,5,2,2,2,1,2,1,1,2,10000,2,2,1,2,1,2,4,2,4,3,6,,,,,,2,,,,1,2,1,2,1,1,3,3,3,3,6,2,1,2,4,2,1,3,1,2,2,2,,4,1,,2,1,1,0
10000550,2023,1,2,2,3,1,3,1,1,1,1,2,2,3,1,3,1,2,,77,2,3,2,2,2,10000,10000,9,2,3,2,2,3,2,2,2,4,6,1,1,3,1,1,2,1,1,1,4,3,2,6,4,5,5,5,4,3,3,3,3,3,2,2,5,4,3,3,5,4,5,2,2,2,2,2,2,2,2,10000,2,2,2,2,1,1,4,2,3,3,1,1,4,4,3,7,1,2,2,2,1,2,1,1,1,1,3,3,3,3,5,2,1,2,3,3,1,3,1,2,1,1,,2,3,2,1,8,1,1
10000560,2023,3,4,5,2,1,2,2,2,2,2,1,2,1,2,2,4,1,1,1,2,2,2,2,1,10000,10000,9,2,1,1,2,3,2,2,2,2,2,4,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,3,1,1,4,5,3,1,4,1,1,3,4,1,5,2,1,2,2,2,2,2,1,10000,1,1,1,1,2,4,3,1,1,1,6,,,,,,1,2,2,2,1,1,2,1,1,1,1,1,1,1,6,2,2,2,2,3,1,1,2,2,2,1,,2,3,3,1,2,2,0
10000640,2023,2,3,2,2,1,2,1,1,1,2,1,1,3,1,2,2,1,3,1,2,1,1,1,1,100000,100000,3,,2,2,2,2,2,2,2,5,6,,,1,2,1,1,1,1,1,2,1,1,2,1,5,4,4,5,1,5,1,1,1,1,1,4,2,2,4,5,99,5,2,2,2,2,1,2,2,1,10000,2,3,2,2,1,2,3,4,4,1,1,0,1,2,1,3,2,,,,1,1,2,1,1,1,2,2,2,1,2,2,1,2,1,3,5,3,1,1,1,2,,3,3,3,1,4,1,4
10000680,2023,2,3,2,2,1,3,1,1,1,2,2,1,2,2,1,2,2,,1,2,2,2,1,2,1100,1000,9,1,2,3,2,2,2,2,2,5,6,,,3,2,1,1,1,1,1,3,1,1,2,3,5,4,5,3,1,1,1,1,1,1,4,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,1000,1,2,1,1,1,1,4,4,4,2,3,,,,,,2,,,,1,1,1,1,1,1,2,2,2,2,1,2,1,2,2,3,5,3,4,2,1,3,2,3,1,,2,1,2,2
10000770,2023,1,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,3,1,2,4,1,1,1,100000,100000,3,,4,1,2,2,2,2,1,5,6,,,4,2,1,1,1,1,1,4,1,1,3,1,5,4,4,2,1,1,1,1,1,1,1,3,5,2,1,4,2,5,2,1,2,1,1,2,1,2,1000,2,1,1,1,1,4,3,2,1,1,1,0,4,3,1,7,1,2,2,2,1,1,1,2,2,2,4,4,3,3,4,2,1,2,3,3,1,3,3,2,1,2,,3,3,3,1,6,2,0
10000800,2023,2,5,2,2,1,2,2,1,2,2,1,1,99,99,3,3,1,3,2,2,1,2,2,2,1200,1000,9,1,2,1,2,2,2,2,2,3,5,1,1,1,1,99,,1,1,1,2,,,1,3,4,4,4,4,1,2,1,1,2,1,3,5,4,2,4,5,4,5,2,2,2,2,2,2,2,2,1000,2,1,2,3,1,1,2,3,3,2,1,0,2,4,2,3,2,,,,2,2,1,1,1,1,2,2,1,1,2,2,1,2,2,3,5,3,4,2,1,1,,2,3,3,3,1,1,2
10000840,2023,1,1,2,1,1,1,1,1,1,2,1,1,3,2,2,1,1,3,2,2,1,1,1,1,1200,1000,9,2,2,1,2,1,2,2,2,2,3,1,1,1,1,1,1,1,1,1,2,1,1,2,1,4,2,3,4,1,1,1,1,1,1,3,4,2,4,2,2,4,4,2,1,2,2,2,2,2,2,10000,2,2,1,2,1,1,4,1,1,1,1,0,1,3,2,4,2,,,,1,2,99,1,1,1,3,99,3,4,2,2,1,2,4,3,5,3,4,2,1,2,,4,2,2,2,7,2,2
10000960,2023,2,2,3,2,1,2,2,3,1,1,2,2,2,1,2,2,1,3,2,2,2,1,1,2,10000,10000,9,2,2,2,2,3,2,2,2,2,5,1,1,1,1,1,1,1,1,1,3,1,1,1,2,4,4,4,3,1,2,1,2,2,1,2,2,4,5,3,5,5,5,3,1,3,2,1,2,2,1,10000,1,1,1,1,1,4,2,4,4,1,5,,,,,,2,,,,2,2,1,1,1,1,1,1,1,1,2,2,1,2,2,3,2,2,1,2,1,1,,2,1,,2,2,2,0
10001200,2023,1,2,2,3,1,2,3,3,2,2,2,1,1,2,2,3,2,,1,3,2,1,2,4,1100,1000,9,1,3,1,2,1,2,2,2,3,2,6,6,2,2,1,1,1,1,1,1,5,1,1,2,1,1,2,4,2,3,2,4,2,3,2,5,4,5,4,5,3,4,2,2,3,3,2,2,1,2,10000,2,3,2,5,,1,2,3,1,1,3,,,,,,2,,,,1,1,99,2,2,2,1,1,2,2,3,2,4,2,3,3,3,3,1,2,1,2,,2,1,,1,1,2,2
10001210,2023,1,1,1,1,1,1,3,3,99,2,1,1,3,99,4,99,1,3,77,3,1,1,1,3,1100,1000,9,1,2,1,2,2,2,2,2,1,4,6,6,1,1,1,1,99,99,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,5,1,5,5,5,5,2,2,1,3,2,1,2,2,2,1000,1,1,2,2,1,4,4,1,1,1,1,0,1,1,1,4,2,,,,2,2,2,1,1,1,1,1,1,1,3,2,1,2,2,3,3,3,4,2,1,1,,1,2,2,1,99,2,2
10001220,2023,2,3,4,1,1,3,1,1,1,1,2,1,1,2,2,3,2,,3,2,3,3,2,3,100000,100000,3,,2,2,2,2,2,2,2,5,6,,,2,2,1,2,1,1,1,3,5,2,5,3,5,5,5,5,4,4,3,5,4,4,3,5,1,4,5,5,5,5,2,2,3,3,1,99,2,1,100000,,3,2,6,,1,1,3,3,2,1,0,2,4,2,6,1,2,2,2,2,2,2,1,1,1,3,3,3,3,4,2,2,2,1,3,1,3,1,2,2,3,99,4,3,3,1,1,1,4
10001300,2023,2,3,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,,77,99,4,1,1,2,100000,100000,3,,4,4,2,2,2,2,2,6,6,,,4,2,2,2,2,2,1,5,,,7,5,5,5,5,5,5,3,1,5,5,1,4,3,2,2,4,4,4,5,2,2,2,3,1,1,1,2,100000,,4,3,4,1,1,1,4,4,5,2,0,4,5,1,,2,,,,1,2,1,2,2,2,3,2,3,3,5,2,1,2,2,3,1,3,2,2,2,1,,2,3,3,1,4,2,1
10001450,2023,2,3,3,3,3,2,1,1,2,2,2,2,3,1,3,3,2,,2,2,2,2,1,3,1100,1000,9,1,2,2,2,2,2,2,2,4,1,1,1,2,1,1,1,1,1,1,2,1,1,5,2,4,3,4,3,2,5,2,4,3,3,2,5,2,5,3,5,5,4,2,2,2,2,1,2,2,1,1000,1,2,2,2,1,1,4,4,4,3,3,,,,,,2,,,,2,2,2,1,1,1,2,2,3,2,2,2,1,2,2,3,5,3,4,2,1,1,,2,1,,2,1,1,2
10001530,2023,2,2,2,3,1,1,3,1,99,2,1,1,1,2,3,2,1,3,1,2,2,2,2,2,1200,1000,9,2,3,2,2,2,2,2,2,4,3,6,6,1,2,1,1,1,2,1,2,5,4,3,2,5,5,3,5,1,3,1,5,2,1,1,5,3,3,5,5,5,5,2,2,2,2,1,2,2,2,1000,2,2,4,6,,4,2,3,1,1,1,1,1,5,2,8,2,,,,1,1,1,1,1,1,1,1,1,2,6,1,5,2,3,1,1,1,1,2,2,4,99,3,1,,1,4,2,0
10001660,2024,3,3,4,2,1,2,1,1,1,2,2,2,2,1,1,1,1,3,3,1,5,3,1,1,100000,100000,3,,3,3,2,2,2,2,2,6,6,,,4,2,1,4,1,1,1,5,4,4,7,5,5,5,5,5,5,5,1,1,1,1,1,4,1,4,3,5,5,5,2,2,2,1,1,2,1,2,100000,,4,4,6,,1,1,3,4,5,1,0,4,5,4,5,2,,,,1,1,1,2,2,1,4,4,1,1,4,2,1,2,2,1,3,1,4,2,1,3,99,4,3,3,6,2,2,2
10001680,2023,1,1,2,2,1,2,3,3,2,1,1,1,3,1,4,4,2,,77,3,1,1,1,1,10000,10000,9,2,1,1,2,3,2,2,2,2,6,1,1,1,1,1,1,1,1,1,1,2,2,1,3,4,3,1,4,1,1,1,1,3,1,1,5,1,1,1,5,4,5,2,1,3,2,2,2,1,1,10000,2,1,1,2,1,4,4,1,1,1,5,,,,,,2,,,,1,1,1,1,1,1,1,1,2,2,3,2,1,2,2,3,5,3,1,2,1,1,,2,1,,1,8,2,3
10001730,2023,3,3,3,3,3,2,2,99,2,1,1,2,99,99,3,4,1,3,1,3,2,99,2,1,1200,1000,9,99,99,99,99,99,99,99,99,1,6,99,99,1,1,1,1,1,99,1,1,1,99,1,3,1,1,3,1,1,1,1,1,99,1,1,99,1,5,4,5,1,1,2,99,3,3,1,2,2,99,1000,2,1,1,1,1,1,4,1,1,1,99,,,,,,2,,,,2,2,2,1,1,1,2,2,2,2,99,99,9,99,99,3,5,3,4,2,1,3,99,2,99,,5,99,2,2
10001750,2023,2,1,1,2,1,1,1,3,1,2,2,2,1,2,2,1,1,3,1,1,5,1,1,1,100000,100000,3,,4,2,2,2,2,2,2,5,6,,,4,2,1,1,1,2,1,4,5,5,7,5,5,5,5,5,1,1,1,1,1,1,1,4,3,5,2,5,3,4,3,2,2,3,1,2,2,2,1000,1,1,4,3,1,1,1,2,1,4,2,0,4,5,1,,2,,,,1,1,1,2,1,2,4,3,2,4,4,2,1,2,2,3,1,3,1,2,2,3,2,5,3,2,1,3,2,3
10001770,2023,3,4,2,3,3,2,1,1,1,2,1,2,3,2,3,2,2,,2,2,1,1,1,3,20000,20000,9,2,2,2,2,2,2,2,2,4,4,6,6,1,2,1,2,1,1,1,2,2,1,3,1,2,2,5,3,1,1,1,5,1,1,1,4,1,3,5,5,2,5,3,2,3,1,1,2,2,1,20000,1,99,99,99,,99,99,99,99,99,99,,,,,,1,2,2,2,2,1,2,1,1,1,99,99,99,99,5,2,5,2,1,3,1,2,3,2,2,3,1,4,3,2,1,2,1,0
10001780,2023,2,2,2,2,1,1,3,1,2,2,2,1,3,1,4,3,2,,1,2,1,2,2,2,10000,10000,9,1,2,2,2,3,2,2,2,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,4,1,1,1,1,1,2,2,2,2,2,2,3,2,1,2,2,2,2,2,1,10000,1,1,1,2,4,4,4,1,1,1,4,,,,,,2,,,,2,2,2,1,1,1,1,1,2,2,3,1,1,2,3,3,1,1,4,2,1,2,,2,2,2,1,5,2,2
10001810,2024,2,2,2,2,1,1,1,1,1,2,2,2,2,1,2,1,2,,1,1,3,2,2,2,1200,1000,9,2,2,2,2,2,2,2,2,4,5,1,1,2,1,1,2,1,2,1,2,2,2,3,3,1,1,1,4,1,1,1,3,3,1,1,2,1,1,2,2,2,4,2,1,2,2,2,2,2,2,1000,2,1,2,2,1,1,4,2,3,2,5,,,,,,2,,,,1,1,1,2,2,2,2,2,2,2,3,2,1,2,4,3,1,3,4,1,1,2,,2,1,,2,8,2,1
10001890,2023,2,3,3,3,1,2,3,3,2,2,1,1,1,2,2,4,1,1,77,2,1,1,1,2,1100,1000,9,1,1,1,2,2,2,2,2,1,5,6,6,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,1,1,2,1,1,5,1,4,1,5,4,4,2,1,3,2,1,2,2,1,1000,1,1,1,1,6,1,4,1,1,1,1,0,1,1,1,6,2,,,,2,2,1,2,1,1,1,1,1,1,3,2,4,2,2,3,4,3,1,2,1,2,,2,3,3,1,1,2,2
10001940,2023,3,4,4,1,2,2,3,1,2,1,1,2,2,1,3,4,1,1,3,1,3,1,1,3,10000,10000,9,2,2,3,2,3,2,2,2,6,6,,,2,2,1,2,1,1,1,2,1,1,4,5,5,4,4,4,5,4,4,5,4,3,1,4,2,2,4,5,5,5,2,2,3,2,2,2,2,2,10000,2,2,2,5,,2,1,1,1,3,6,,,,,,2,,,,2,1,2,1,1,2,2,2,2,3,6,2,1,2,2,3,1,2,4,2,1,3,1,2,2,2,1,1,1,0
10001980,2023,2,3,3,1,1,3,3,1,1,1,2,1,2,1,1,2,2,,77,3,4,1,1,2,100000,100000,3,,3,3,2,2,2,2,2,6,6,,,4,2,2,2,2,2,2,5,,,6,5,5,5,5,5,4,4,3,4,4,3,3,5,4,5,4,5,5,5,2,2,2,3,1,1,2,2,10000,2,3,3,2,1,1,2,2,4,4,1,1,3,5,3,5,2,,,,2,1,2,2,1,2,3,3,3,3,4,2,1,2,2,3,1,3,4,2,2,4,99,3,2,2,2,4,1,2
10002030,2023,2,2,2,1,1,3,1,1,1,2,2,1,1,2,2,2,2,,1,2,3,1,2,1,1100,1000,9,2,2,2,2,2,2,2,2,5,6,,,2,2,1,1,1,1,1,2,2,1,4,4,5,5,5,5,2,1,1,4,2,1,3,5,5,5,5,5,5,5,2,1,2,3,1,2,2,2,1000,2,2,1,1,1,4,3,2,3,3,1,1,4,5,3,5,2,,,,1,1,1,2,2,1,3,2,2,3,2,2,1,2,3,3,5,3,4,2,1,2,,5,2,2,2,99,2,0
10002040,2023,2,3,1,3,1,1,1,1,1,2,1,1,1,2,1,1,2,,1,2,3,1,1,1,1200,1000,9,2,2,1,2,2,2,2,2,2,6,1,1,2,1,1,2,99,2,1,2,2,1,3,2,3,4,4,4,1,1,1,2,1,1,2,1,3,5,2,4,4,4,2,1,2,1,2,2,2,2,1000,2,1,2,2,1,1,3,3,3,1,1,0,3,3,2,5,2,,,,2,1,1,2,1,1,4,4,3,4,3,2,1,2,2,3,4,3,1,2,1,2,,4,3,3,2,4,2,3
10002130,2023,2,2,3,3,1,3,3,1,2,1,1,1,1,1,1,3,1,3,3,1,5,1,1,2,100000,100000,3,,4,4,2,2,2,2,2,6,6,,,4,2,2,3,2,2,2,5,,,7,5,5,5,5,4,3,3,3,5,3,3,3,5,5,5,5,5,5,5,2,2,3,1,1,1,1,2,1000,1,1,1,1,2,1,4,2,2,5,3,,,,,,2,,,,1,1,1,2,2,2,4,3,4,4,3,2,2,2,2,3,1,1,4,2,1,3,2,3,1,,2,5,1,2
10002220,2023,3,4,5,2,1,2,2,1,2,1,1,1,1,1,3,4,2,,77,2,1,1,1,3,1100,1000,9,1,4,1,2,2,2,2,2,2,2,6,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,5,1,4,1,5,1,4,2,2,1,3,1,2,2,2,10000,1,2,4,1,6,4,4,2,1,1,1,0,4,1,1,6,2,,,,1,1,2,1,1,1,1,1,4,1,3,2,1,2,2,3,4,2,4,2,2,1,,2,2,2,2,1,2,0
10002250,2023,3,5,5,3,3,3,2,2,2,1,1,2,3,2,3,3,1,99,2,99,1,1,1,2,900000,900000,9,,1,2,2,2,2,2,2,5,1,,,1,1,99,,99,99,99,1,,,7,1,4,1,4,4,3,4,3,4,4,4,4,5,4,5,4,5,5,5,2,2,3,3,99,2,2,1,900000,,1,1,5,,2,1,2,3,3,5,,,,,,2,,,,2,2,2,2,2,1,1,99,99,99,1,2,3,99,99,3,5,99,99,2,1,99,99,4,1,,99,99,99,99
10002330,2023,1,2,1,2,2,2,2,2,2,1,1,2,2,1,3,4,1,1,3,3,1,1,1,3,1100,1000,9,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,4,2,2,1,5,1,2,2,2,3,2,2,2,2,1,1000,2,1,1,2,2,1,4,1,1,1,1,0,1,1,1,7,2,,,,2,1,2,1,1,1,1,1,1,2,1,2,1,2,2,3,5,3,4,2,1,3,1,1,2,2,2,99,1,1
10002360,2023,1,2,1,2,1,3,3,1,1,1,99,1,2,1,3,2,2,,1,2,1,1,1,1,1200,1000,9,1,2,1,2,2,2,2,2,2,4,6,6,1,1,1,1,1,1,1,1,2,1,1,3,2,1,1,2,1,1,1,1,1,1,1,4,1,4,1,5,4,5,2,1,2,2,2,2,1,2,1000,1,2,2,2,6,1,4,3,1,1,1,0,1,1,1,3,2,,,,2,2,2,1,1,1,1,1,2,1,2,2,4,2,1,3,5,2,4,2,1,4,99,3,3,3,2,4,2,3
10002530,2023,2,3,4,2,1,2,3,1,2,2,1,1,3,2,3,3,1,1,3,2,2,3,2,3,1200,1000,9,1,2,2,2,2,2,2,2,2,5,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,1,1,4,1,2,1,1,2,99,2,4,1,1,2,5,1,4,2,1,2,2,1,2,2,1,1000,1,2,2,3,1,1,4,1,1,2,5,,,,,,2,,,,1,1,1,1,1,1,3,2,2,2,1,2,1,2,2,3,3,3,4,2,2,3,1,3,3,3,6,2,2,2
10002560,2023,1,3,1,3,1,3,3,1,1,1,1,1,1,2,3,3,1,1,1,2,2,1,1,1,10000,10000,9,1,2,2,2,3,2,2,2,5,5,,,2,2,1,3,1,1,1,2,2,2,6,3,4,4,4,5,4,4,3,4,4,3,4,3,1,1,1,1,1,5,3,2,3,2,2,2,2,1,10000,1,2,1,5,,1,1,3,3,2,4,,,,,,1,2,2,2,1,2,2,1,2,1,2,2,2,2,6,1,1,1,1,3,3,1,3,1,2,2,,3,3,3,1,1,2,2
10002760,2023,1,2,1,2,1,2,3,3,2,2,1,1,1,2,1,3,1,3,2,2,2,1,1,1,100000,100000,3,,2,1,2,2,2,2,2,4,4,6,6,2,2,1,2,1,1,1,3,3,3,6,3,4,4,4,4,1,1,1,3,3,1,2,5,5,5,5,5,5,5,2,2,3,3,2,2,2,1,100000,,3,2,3,6,1,1,4,4,4,1,0,3,4,2,5,2,,,,2,2,2,2,1,2,2,2,2,2,4,2,2,2,3,3,5,3,4,2,1,4,1,3,2,2,5,5,1,4
10002780,2023,1,2,1,2,2,2,2,1,2,2,1,1,3,1,3,4,1,3,1,3,1,1,1,2,1100,1000,9,1,3,1,2,2,2,2,2,1,3,1,1,1,1,1,1,1,1,1,1,99,1,1,1,1,1,1,3,1,1,1,1,4,1,1,2,2,1,2,5,2,5,1,1,2,2,2,2,2,2,1000,2,1,3,2,1,1,2,1,1,1,6,,,,,,2,,,,2,2,2,1,1,1,1,1,1,1,2,2,1,2,4,2,5,3,3,2,1,3,2,3,1,,2,8,2,0
